Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price
8/2/2018,Karnataka,Patna,Ludhiana Market,Wheat,Premium,1325,1700,1625
12/8/2022,Maharashtra,Pune,Coimbatore Mandi,Cotton,Local,1509,1888,
8/27/2020,Punjab,Lucknow,Coimbatore Mandi,Onion,grade a,2210,2926,2360
25/04/2020,West Bengal,Pune,Kolkata Market,Soyabean,Premium,1944,2047,2034
7/22/2023,Uttar Pradesh,Pune,Lucknow Mandi,Wheat,,1151,1299,1207
11/3/2021,Tamil Nadu,Patna,Lucknow Mandi,Potato,Premium,2962,3523,3316
3/17/2019,Punjab,Coimbatore,Patna Bazaar,Soyabean,Local,1776,2428,
2/20/2022,Maharashtra,Pune,Jaipur Mandi,Tomato,Premium,2945,3248,2954
7/5/2019,West Bengal,Jaipur,Ludhiana Market,Tomato,Local,2148,2725,
9/12/2024,Tamil Nadu,Kolkata,APMC Pune,Cotton,Premium,1307,1591,1419
24/05/2022,Karnataka,Mysuru,Kolkata Market,Wheat,Hybrid,2355,2683,2530
3/20/2018,Maharashtra,Kolkata,Lucknow Mandi,Tomato,Hybrid,2732,3044,2741
1/11/2022,Uttar Pradesh,Coimbatore,Ludhiana Market,Rice,grade a,1954,2278,
23-07-2018,Tamil Nadu,Pune,Lucknow Mandi,Maize,grade a,2851,3097,3059
8/13/2018,West Bengal,Kolkata,APMC Pune,Wheat,Standard,1757,2415,
24-10-2018,Rajasthan,Jaipur,Kolkata Market,Soyabean,Local,1981,2437,2045
31-05-2018,Uttar Pradesh,Coimbatore,Ludhiana Market,Onion,,860,1247,1184
11/5/2019,Karnataka,Pune,Lucknow Mandi,Potato,Grade A,1716,2361,1745
8/20/2021,Karnataka,Mysuru,Mysuru Yard,Tomato,Standard,1021,1415,
10/10/2019,Rajasthan,Lucknow,APMC Pune,Onion,Grade A,1194,1773,1625
29/11/2019,Punjab,Pune,Patna Bazaar,Wheat,grade a,2188,2713,
29-07-2024,Uttar Pradesh,Pune,Patna Bazaar,Cotton,grade a,2684,3385,
4/11/2021,Bihar,Patna,Lucknow Mandi,Onion,Standard,2486,2941,2854
15/04/2019,Maharashtra,Ludhiana,Kolkata Market,Wheat,,1701,2296,1775
15-10-2024,Rajasthan,Coimbatore,APMC Pune,Wheat,grade a,1110,1253,1244
7/4/2024,Karnataka,Kolkata,Mysuru Yard,Tomato,Grade A,2611,2945,2793
12/7/2022,Bihar,Patna,Ludhiana Market,Cotton,Local,2087,2230,2210
14/01/2023,Punjab,Kolkata,APMC Pune,Soyabean,Grade A,2462,2955,
15-01-2021,West Bengal,Coimbatore,Coimbatore Mandi,Onion,Hybrid,2020,2791,2160
19-10-2024,Punjab,Mysuru,Jaipur Mandi,Onion,Standard,1196,1860,1328
26/12/2023,Tamil Nadu,Lucknow,Mysuru Yard,Onion,grade a,844,1642,1572
17/01/2022,Rajasthan,Coimbatore,APMC Pune,Maize,Grade A,2104,2733,2324
11/3/2024,Punjab,Kolkata,Jaipur Mandi,Onion,Local,1490,2123,2032
28/06/2021,Maharashtra,Jaipur,Kolkata Market,Wheat,FAQ,1173,1782,1652
7/1/2022,Karnataka,Ludhiana,Mysuru Yard,Tomato,Grade A,1222,1352,1346
26/11/2018,West Bengal,Patna,Jaipur Mandi,Onion,Standard,883,1148,1008
30/08/2020,Bihar,Lucknow,APMC Pune,Rice,Grade A,2964,3071,
1/2/2024,Karnataka,Coimbatore,Patna Bazaar,Rice,Hybrid,2546,3186,
26-03-2021,Karnataka,Jaipur,Jaipur Mandi,Cotton,grade a,2559,3049,2768
31-08-2019,Maharashtra,Mysuru,Lucknow Mandi,Tomato,Hybrid,2505,2695,2522
3/6/2021,Bihar,Coimbatore,Mysuru Yard,Maize,Standard,1718,2181,
22/04/2021,Punjab,Kolkata,Mysuru Yard,Potato,Grade A,2697,3378,2787
5/12/2023,Rajasthan,Lucknow,Patna Bazaar,Wheat,Hybrid,952,1520,1404
25/01/2021,Bihar,Pune,Lucknow Mandi,Rice,,1013,1277,1109
6/15/2024,Karnataka,Kolkata,APMC Pune,Onion,grade a,984,1628,1416
8/30/2023,Punjab,Jaipur,Patna Bazaar,Rice,,2091,2591,2589
25/12/2021,West Bengal,Ludhiana,Mysuru Yard,Maize,FAQ,1784,2207,2056
4/6/2021,West Bengal,Mysuru,Kolkata Market,Wheat,Premium,2030,2480,
8/12/2023,Bihar,Coimbatore,Lucknow Mandi,Wheat,Local,2101,2570,
29/08/2018,West Bengal,Lucknow,APMC Pune,Potato,Standard,2478,2647,2572
2/5/2024,Bihar,Pune,APMC Pune,Onion,Grade A,2251,2858,2547
7/6/2021,Tamil Nadu,Coimbatore,APMC Pune,Cotton,,2918,3397,3279
31/08/2019,Bihar,Jaipur,Coimbatore Mandi,Soyabean,Local,1324,1700,
9/6/2021,Maharashtra,Lucknow,Mysuru Yard,Maize,,926,1135,930
9/10/2023,Uttar Pradesh,Jaipur,Kolkata Market,Onion,Hybrid,2810,3346,3213
1/16/2018,Bihar,Coimbatore,Patna Bazaar,Wheat,FAQ,2958,3133,3101
9/8/2023,West Bengal,Mysuru,Mysuru Yard,Wheat,Grade A,1532,1940,1789
4/22/2020,Maharashtra,Kolkata,Mysuru Yard,Tomato,Hybrid,2305,2994,2325
22/07/2022,Bihar,Pune,Patna Bazaar,Onion,Local,1503,1684,1538
4/15/2022,Punjab,Jaipur,Kolkata Market,Maize,Grade A,2589,2830,
27/02/2021,West Bengal,Mysuru,Coimbatore Mandi,Potato,Standard,1545,2343,
3/4/2024,Rajasthan,Lucknow,Lucknow Mandi,Soyabean,Standard,856,1131,883
14/11/2019,Karnataka,Kolkata,Coimbatore Mandi,Cotton,Local,848,1347,1042
22-06-2023,Tamil Nadu,Jaipur,Lucknow Mandi,Tomato,Hybrid,1776,2024,1888
4/4/2020,West Bengal,Jaipur,Mysuru Yard,Onion,grade a,2028,2183,
28-03-2019,Punjab,Patna,APMC Pune,Rice,FAQ,2448,3223,2755
31-01-2019,Karnataka,Jaipur,Lucknow Mandi,Cotton,Premium,2031,2615,
28-12-2018,Bihar,Ludhiana,Patna Bazaar,Onion,Local,1996,2136,2126
21/05/2022,Tamil Nadu,Patna,Mysuru Yard,Wheat,Local,1963,2301,
3/31/2022,Punjab,Jaipur,Jaipur Mandi,Maize,Premium,2044,2579,2148
23/09/2022,Tamil Nadu,Ludhiana,Patna Bazaar,Potato,,1640,2227,
3/8/2024,West Bengal,Ludhiana,Jaipur Mandi,Wheat,Grade A,2547,2865,2788
11/10/2019,Karnataka,Jaipur,Kolkata Market,Wheat,Hybrid,943,1146,1022
10/15/2019,Tamil Nadu,Lucknow,Kolkata Market,Potato,,1510,1801,
16/11/2018,Karnataka,Mysuru,Kolkata Market,Soyabean,Grade A,2797,3358,3198
3/29/2019,Rajasthan,Lucknow,APMC Pune,Maize,FAQ,1315,1632,1566
8/10/2018,Rajasthan,Lucknow,Patna Bazaar,Cotton,Premium,1321,1509,1420
17/09/2023,Rajasthan,Coimbatore,Coimbatore Mandi,Onion,grade a,1021,1483,1332
15/08/2018,Rajasthan,Patna,Jaipur Mandi,Onion,grade a,1004,1130,1102
19/05/2018,Bihar,Pune,Kolkata Market,Cotton,,839,1537,954
3/12/2023,Punjab,Lucknow,Mysuru Yard,Onion,,1121,1454,1277
10/23/2020,Punjab,Lucknow,Mysuru Yard,Soyabean,FAQ,2352,2863,
5/12/2020,Bihar,Lucknow,Lucknow Mandi,Cotton,Hybrid,2349,2507,2464
17-09-2020,Uttar Pradesh,Patna,Jaipur Mandi,Soyabean,Standard,2276,2542,2366
7/5/2019,West Bengal,Patna,Coimbatore Mandi,Onion,,2932,3052,2965
13/12/2020,Punjab,Jaipur,Patna Bazaar,Maize,Premium,2483,3280,2785
14-05-2019,Bihar,Kolkata,Patna Bazaar,Cotton,Premium,2345,2887,
31-10-2022,Maharashtra,Ludhiana,Lucknow Mandi,Tomato,grade a,1171,1468,1207
20/05/2024,Bihar,Mysuru,APMC Pune,Cotton,,1754,2312,
9/7/2024,Uttar Pradesh,Pune,Mysuru Yard,Soyabean,,1054,1504,1398
4/9/2019,Rajasthan,Mysuru,Ludhiana Market,Potato,FAQ,1825,2325,2305
5/28/2019,Tamil Nadu,Pune,Lucknow Mandi,Wheat,Premium,2190,2790,2248
15-03-2022,Bihar,Mysuru,Mysuru Yard,Rice,Local,898,1091,917
16-06-2021,Karnataka,Lucknow,Ludhiana Market,Potato,grade a,2634,2842,
3/5/2022,Maharashtra,Mysuru,Lucknow Mandi,Onion,FAQ,2517,2795,
12/14/2021,Bihar,Kolkata,Coimbatore Mandi,Potato,Hybrid,2358,2458,2391
1/8/2019,Rajasthan,Ludhiana,Mysuru Yard,Cotton,Grade A,1495,1843,1815
9/12/2020,Punjab,Ludhiana,Patna Bazaar,Soyabean,,1958,2745,2443
2/8/2019,Tamil Nadu,Patna,Jaipur Mandi,Tomato,Standard,1430,1579,1548
2/15/2024,Tamil Nadu,Jaipur,Lucknow Mandi,Cotton,Standard,2406,2635,2445
9/6/2020,Rajasthan,Lucknow,APMC Pune,Potato,,2966,3148,3051
23/05/2019,Punjab,Patna,Coimbatore Mandi,Wheat,grade a,2309,2423,
8/17/2019,Punjab,Lucknow,Kolkata Market,Onion,Premium,2768,3325,3139
26-09-2020,Rajasthan,Pune,Lucknow Mandi,Maize,Local,1611,1964,
20/02/2018,Bihar,Kolkata,Ludhiana Market,Cotton,Grade A,1260,1989,1793
3/5/2019,Bihar,Pune,Lucknow Mandi,Rice,Local,1609,1884,1728
10/2/2022,Rajasthan,Jaipur,Coimbatore Mandi,Onion,Premium,1359,1540,1436
3/8/2020,Rajasthan,Ludhiana,Ludhiana Market,Tomato,grade a,2574,2726,2630
24/06/2018,West Bengal,Ludhiana,Ludhiana Market,Wheat,Grade A,2431,3151,2540
3/8/2022,Tamil Nadu,Coimbatore,APMC Pune,Cotton,grade a,2815,3013,2903
6/10/2023,Rajasthan,Pune,Patna Bazaar,Rice,grade a,1046,1314,
8/10/2022,Karnataka,Ludhiana,Mysuru Yard,Potato,Grade A,812,1027,
7/31/2022,Uttar Pradesh,Patna,Kolkata Market,Cotton,grade a,1721,2301,1963
22/03/2018,Tamil Nadu,Ludhiana,Coimbatore Mandi,Wheat,Premium,2423,3199,
20/12/2022,Maharashtra,Pune,Coimbatore Mandi,Cotton,,1016,1809,
1/9/2018,Maharashtra,Lucknow,Patna Bazaar,Cotton,Premium,2927,3230,3201
12/14/2022,Karnataka,Pune,Kolkata Market,Wheat,,2335,2704,
25-11-2023,Uttar Pradesh,Jaipur,Jaipur Mandi,Tomato,Standard,1913,2099,1966
9/1/2022,West Bengal,Jaipur,Kolkata Market,Soyabean,grade a,1052,1796,
3/1/2020,Karnataka,Mysuru,Patna Bazaar,Potato,Premium,1282,1593,1349
26-10-2022,Punjab,Pune,APMC Pune,Potato,Standard,2200,2534,2526
29-05-2024,Bihar,Coimbatore,APMC Pune,Wheat,Hybrid,1388,2004,1544
22-06-2019,Punjab,Patna,Kolkata Market,Maize,grade a,1117,1750,1243
1/15/2023,Punjab,Kolkata,Lucknow Mandi,Rice,Standard,2728,3423,3196
21/04/2018,Bihar,Kolkata,Lucknow Mandi,Soyabean,Local,1763,2274,
31-10-2022,Punjab,Lucknow,APMC Pune,Tomato,Premium,2200,2821,
12/6/2024,Rajasthan,Kolkata,Mysuru Yard,Cotton,FAQ,2904,3195,
12/4/2023,Punjab,Patna,Coimbatore Mandi,Rice,Local,1666,1910,
4/9/2020,Bihar,Lucknow,Patna Bazaar,Onion,Premium,2133,2575,
9/10/2019,Tamil Nadu,Lucknow,Coimbatore Mandi,Maize,Local,1088,1727,1586
2/3/2023,West Bengal,Pune,Jaipur Mandi,Soyabean,Premium,897,1099,1020
27/12/2023,Rajasthan,Kolkata,Patna Bazaar,Rice,Premium,1211,1966,1588
18-10-2024,Punjab,Kolkata,Ludhiana Market,Onion,,1902,2691,2308
14/11/2021,West Bengal,Ludhiana,Ludhiana Market,Tomato,Premium,1412,2087,1560
6/14/2024,Uttar Pradesh,Lucknow,Patna Bazaar,Cotton,FAQ,2163,2497,2363
9/16/2023,Rajasthan,Kolkata,Ludhiana Market,Soyabean,Grade A,2830,3353,2936
6/1/2022,Uttar Pradesh,Pune,Mysuru Yard,Maize,FAQ,939,1100,1024
6/13/2019,Maharashtra,Lucknow,Jaipur Mandi,Onion,Standard,827,1349,1221
14-02-2019,Bihar,Jaipur,Coimbatore Mandi,Maize,,1891,2247,2052
9/14/2024,Punjab,Ludhiana,Kolkata Market,Tomato,Hybrid,2954,3159,
26/06/2020,Rajasthan,Lucknow,Kolkata Market,Wheat,,1147,1752,1610
20-03-2019,Bihar,Coimbatore,APMC Pune,Tomato,,1970,2724,2705
8/1/2024,Maharashtra,Coimbatore,Ludhiana Market,Maize,FAQ,2781,3426,3090
25-11-2023,Tamil Nadu,Kolkata,APMC Pune,Wheat,Hybrid,2871,3077,3009
24/11/2023,Rajasthan,Mysuru,Patna Bazaar,Wheat,Premium,1861,2340,2018
1/16/2018,Punjab,Pune,APMC Pune,Potato,Hybrid,1051,1168,1060
2/9/2024,Punjab,Patna,Lucknow Mandi,Rice,Hybrid,2696,3030,
3/7/2018,Uttar Pradesh,Lucknow,Coimbatore Mandi,Onion,FAQ,2301,2695,2586
19-05-2021,Tamil Nadu,Jaipur,Ludhiana Market,Potato,FAQ,2319,2953,2839
4/9/2022,Rajasthan,Pune,Patna Bazaar,Potato,Hybrid,2677,3038,3002
8/20/2023,West Bengal,Coimbatore,Kolkata Market,Soyabean,Grade A,2770,3312,3292
26/07/2024,Punjab,Pune,Coimbatore Mandi,Cotton,grade a,1211,1608,
11/2/2023,Uttar Pradesh,Mysuru,Mysuru Yard,Wheat,Grade A,2453,2718,2568
1/5/2021,Karnataka,Kolkata,Mysuru Yard,Rice,grade a,2856,2963,2926
5/16/2018,Bihar,Mysuru,Kolkata Market,Rice,Local,2262,2728,2274
10/6/2022,Uttar Pradesh,Kolkata,Ludhiana Market,Wheat,Hybrid,2652,2995,2973
9/15/2018,Maharashtra,Kolkata,Jaipur Mandi,Onion,Local,2939,3561,3180
25-05-2024,Karnataka,Jaipur,Patna Bazaar,Maize,Premium,2643,3158,3132
17-06-2021,Maharashtra,Patna,Lucknow Mandi,Rice,grade a,2193,2686,2602
5/2/2018,Punjab,Mysuru,Patna Bazaar,Cotton,,2002,2689,2664
18/08/2022,Uttar Pradesh,Kolkata,APMC Pune,Wheat,Local,1298,1580,1439
19-04-2019,Punjab,Jaipur,APMC Pune,Rice,Hybrid,1757,2256,
9/19/2024,Uttar Pradesh,Patna,Coimbatore Mandi,Tomato,FAQ,1283,1846,
19-08-2019,Karnataka,Pune,APMC Pune,Maize,Hybrid,1948,2613,2205
14-08-2018,Uttar Pradesh,Coimbatore,Jaipur Mandi,Onion,Standard,2862,3289,3279
8/24/2018,Karnataka,Mysuru,Jaipur Mandi,Onion,Hybrid,1406,1739,1651
10/9/2018,Punjab,Coimbatore,Kolkata Market,Potato,Hybrid,2028,2362,2035
19-04-2018,Karnataka,Jaipur,Ludhiana Market,Tomato,grade a,2212,2450,2441
9/9/2022,Maharashtra,Lucknow,Jaipur Mandi,Cotton,Premium,2415,2757,2537
11/27/2022,West Bengal,Mysuru,Lucknow Mandi,Tomato,Hybrid,1747,2139,2123
20-07-2020,Maharashtra,Ludhiana,Lucknow Mandi,Onion,Premium,2415,2688,
5/27/2019,Tamil Nadu,Mysuru,Ludhiana Market,Potato,Local,1417,2138,1939
1/2/2020,Punjab,Ludhiana,APMC Pune,Wheat,Grade A,1275,2014,1985
9/10/2024,Punjab,Lucknow,Lucknow Mandi,Onion,grade a,1992,2422,2114
11/11/2020,Uttar Pradesh,Ludhiana,Mysuru Yard,Potato,Grade A,2285,2979,2842
3/2/2019,Bihar,Jaipur,Mysuru Yard,Maize,grade a,819,964,953
10/6/2018,Tamil Nadu,Kolkata,Coimbatore Mandi,Cotton,,2045,2808,2165
2/4/2023,Punjab,Pune,Coimbatore Mandi,Cotton,Hybrid,1804,2544,
10/26/2020,Bihar,Kolkata,Jaipur Mandi,Rice,,2391,2838,
7/2/2024,Maharashtra,Coimbatore,Jaipur Mandi,Soyabean,,2154,2330,
12/18/2022,Uttar Pradesh,Pune,Kolkata Market,Tomato,,1211,1415,1410
11/16/2022,Karnataka,Jaipur,Kolkata Market,Cotton,Standard,2704,3126,2848
28-08-2020,Tamil Nadu,Ludhiana,Ludhiana Market,Potato,Standard,1572,2020,2004
6/1/2022,West Bengal,Kolkata,Jaipur Mandi,Tomato,grade a,2689,3240,
11/2/2020,Punjab,Ludhiana,Jaipur Mandi,Potato,FAQ,1394,1942,
12/19/2020,Karnataka,Ludhiana,APMC Pune,Tomato,,1990,2456,2296
9/18/2021,Maharashtra,Mysuru,Kolkata Market,Potato,Premium,1885,2196,1947
24-02-2019,Maharashtra,Kolkata,Mysuru Yard,Maize,Grade A,2923,3276,3223
12/17/2020,West Bengal,Coimbatore,Jaipur Mandi,Tomato,grade a,1421,1923,
12/30/2023,Bihar,Ludhiana,Mysuru Yard,Onion,Grade A,1141,1470,
3/29/2021,Rajasthan,Jaipur,Ludhiana Market,Tomato,Grade A,2450,2734,2617
11/3/2021,Punjab,Ludhiana,Patna Bazaar,Tomato,Grade A,2336,2926,
7/6/2021,Tamil Nadu,Coimbatore,Jaipur Mandi,Cotton,Hybrid,2106,2632,2404
3/1/2024,Bihar,Mysuru,Patna Bazaar,Maize,Local,2239,2744,2355
9/2/2021,Uttar Pradesh,Mysuru,Jaipur Mandi,Cotton,FAQ,895,1222,1095
11/3/2022,Rajasthan,Coimbatore,Coimbatore Mandi,Rice,grade a,2348,3044,2548
14/02/2023,Tamil Nadu,Pune,Patna Bazaar,Potato,Local,2806,3013,
27-03-2024,Punjab,Jaipur,Coimbatore Mandi,Maize,FAQ,1016,1633,1183
6/7/2022,Punjab,Ludhiana,Kolkata Market,Potato,Local,1644,2100,2053
18/03/2021,Maharashtra,Jaipur,Patna Bazaar,Soyabean,Hybrid,2896,3659,3518
25-12-2021,Rajasthan,Lucknow,Ludhiana Market,Wheat,Local,1661,2013,1819
18/02/2021,Tamil Nadu,Kolkata,Patna Bazaar,Maize,grade a,1011,1261,
9/1/2021,Rajasthan,Kolkata,Lucknow Mandi,Wheat,Premium,1734,2384,2172
12/4/2024,Uttar Pradesh,Ludhiana,Coimbatore Mandi,Tomato,Premium,1263,2013,1295
10/25/2022,West Bengal,Pune,Lucknow Mandi,Wheat,Premium,1680,2110,1759
2/4/2023,Uttar Pradesh,Jaipur,APMC Pune,Rice,Premium,2848,3164,2959
3/21/2021,Bihar,Patna,APMC Pune,Maize,Premium,2447,2645,2506
8/11/2021,Punjab,Patna,Coimbatore Mandi,Potato,grade a,2467,3180,2780
10/11/2023,Rajasthan,Pune,Coimbatore Mandi,Tomato,Local,1075,1712,1611
27/08/2020,Maharashtra,Ludhiana,APMC Pune,Potato,grade a,1305,1642,1600
9/1/2020,West Bengal,Ludhiana,Lucknow Mandi,Wheat,Local,951,1362,1103
26/06/2021,Uttar Pradesh,Kolkata,Patna Bazaar,Soyabean,Standard,2351,2704,2466
13-12-2020,Maharashtra,Lucknow,Patna Bazaar,Onion,Local,941,1527,1485
7/4/2019,Maharashtra,Lucknow,APMC Pune,Potato,Grade A,2175,2395,2390
6/3/2020,Rajasthan,Lucknow,Kolkata Market,Rice,Local,2313,2578,2342
6/23/2019,Rajasthan,Kolkata,Kolkata Market,Maize,Local,2433,2759,2727
22/01/2021,West Bengal,Patna,Kolkata Market,Potato,Local,1701,2314,
8/6/2018,Tamil Nadu,Pune,Kolkata Market,Soyabean,Premium,2857,3263,3100
4/5/2019,Rajasthan,Patna,Lucknow Mandi,Cotton,,1951,2197,2073
3/9/2022,Rajasthan,Patna,Ludhiana Market,Soyabean,grade a,1916,2135,1986
26/09/2018,Karnataka,Ludhiana,Jaipur Mandi,Potato,Premium,1149,1368,1294
2/11/2020,Maharashtra,Kolkata,Patna Bazaar,Wheat,Local,1219,1740,1472
22/01/2018,Karnataka,Pune,Lucknow Mandi,Potato,,909,1582,1011
25-10-2022,Bihar,Coimbatore,Kolkata Market,Wheat,Standard,1020,1162,
1/27/2018,Tamil Nadu,Mysuru,Mysuru Yard,Potato,Standard,1029,1754,
2/1/2023,Uttar Pradesh,Lucknow,Kolkata Market,Tomato,grade a,1152,1770,
24-06-2020,West Bengal,Lucknow,Jaipur Mandi,Soyabean,grade a,1522,1717,1549
11/12/2018,Maharashtra,Coimbatore,Lucknow Mandi,Maize,Premium,2972,3705,3359
16-06-2024,Maharashtra,Patna,Patna Bazaar,Potato,Standard,1503,1870,1590
21/06/2021,Uttar Pradesh,Mysuru,Jaipur Mandi,Wheat,FAQ,2887,3603,
18-01-2022,Maharashtra,Kolkata,Lucknow Mandi,Tomato,Standard,1129,1249,1141
6/9/2023,Punjab,Jaipur,Coimbatore Mandi,Potato,Local,848,1426,1295
30/07/2018,West Bengal,Lucknow,APMC Pune,Wheat,,2663,3023,
7/9/2019,Karnataka,Coimbatore,APMC Pune,Potato,FAQ,2724,3481,3080
7/17/2019,Maharashtra,Kolkata,Kolkata Market,Wheat,grade a,882,1146,
19-11-2023,Rajasthan,Lucknow,APMC Pune,Rice,Standard,1430,1604,1569
10/31/2023,Uttar Pradesh,Coimbatore,Lucknow Mandi,Potato,Local,2347,3104,2723
18-03-2019,Karnataka,Pune,APMC Pune,Maize,Hybrid,851,1092,1067
20/10/2018,Maharashtra,Lucknow,Patna Bazaar,Rice,,1808,2026,
22/04/2018,Tamil Nadu,Lucknow,Patna Bazaar,Cotton,Hybrid,1335,1635,
27/07/2022,Karnataka,Pune,Patna Bazaar,Wheat,Standard,1530,2059,1897
26/08/2019,Tamil Nadu,Lucknow,Mysuru Yard,Maize,Grade A,2774,3554,2898
14-09-2019,Bihar,Patna,Ludhiana Market,Tomato,Standard,1599,2237,1729
10/21/2021,Karnataka,Lucknow,Lucknow Mandi,Maize,Standard,1925,2320,
9/29/2018,Maharashtra,Jaipur,Mysuru Yard,Tomato,Local,2367,3095,
8/15/2022,Punjab,Kolkata,Mysuru Yard,Wheat,FAQ,2697,3037,
9/5/2021,Rajasthan,Patna,Kolkata Market,Wheat,Local,2944,3097,3028
5/25/2022,West Bengal,Mysuru,Mysuru Yard,Wheat,FAQ,1247,1426,
19/04/2021,Karnataka,Patna,Coimbatore Mandi,Potato,Premium,1637,1882,1768
9/21/2022,Bihar,Pune,Lucknow Mandi,Rice,Grade A,2932,3719,3676
6/4/2022,Maharashtra,Jaipur,Jaipur Mandi,Wheat,Premium,1805,2314,
9/12/2020,Bihar,Pune,Coimbatore Mandi,Onion,Hybrid,1201,1973,1440
6/9/2020,Maharashtra,Lucknow,Kolkata Market,Onion,Local,2550,3211,2565
2/6/2019,Punjab,Mysuru,Mysuru Yard,Wheat,Standard,1805,2323,1829
11/12/2019,Rajasthan,Ludhiana,Mysuru Yard,Cotton,Standard,1663,2279,2213
13-04-2018,Karnataka,Ludhiana,Ludhiana Market,Maize,Grade A,852,1514,883
11/29/2023,Maharashtra,Pune,Patna Bazaar,Wheat,Premium,2988,3458,3320
25-03-2019,West Bengal,Mysuru,Jaipur Mandi,Potato,Hybrid,1072,1205,1185
31-12-2018,Maharashtra,Jaipur,Mysuru Yard,Onion,Hybrid,1023,1339,1311
18/03/2019,Rajasthan,Patna,Kolkata Market,Cotton,Hybrid,1205,1415,1238
10/11/2022,Tamil Nadu,Ludhiana,Patna Bazaar,Potato,Local,1038,1537,1399
4/2/2019,Rajasthan,Lucknow,Patna Bazaar,Maize,Local,1337,1500,1468
12/10/2021,Rajasthan,Ludhiana,Kolkata Market,Rice,Grade A,978,1495,1419
26/09/2023,Uttar Pradesh,Coimbatore,Ludhiana Market,Onion,,1896,2531,
11/9/2018,Maharashtra,Kolkata,APMC Pune,Cotton,Local,2143,2928,
