Arrival_Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,,,
11/07/2019,Tamil Nadu,Pune,Lucknow Mandi,Maize,Grade A,2851,3097,3059,,,
08/13/2018,West Bengal,Kolkata,APMC Pune,Wheat,Standard,1757,2415,2086,,,
12/10/2019,Rajasthan,Jaipur,Kolkata Market,Soyabean,Local,1981,2437,2045,,,
07/05/2020,Uttar Pradesh,Coimbatore,Ludhiana Market,Onion,Unknown,860,1247,1184,,,
11/05/2019,Karnataka,Pune,Lucknow Mandi,Potato,Grade A,1716,2361,1745,,,
08/20/2021,Karnataka,Mysuru,Mysuru Yard,Tomato,Standard,1021,1415,1218,,,
10/10/2019,Rajasthan,Lucknow,APMC Pune,Onion,Grade A,1194,1773,1625,,,
05/11/2021,Punjab,Pune,Patna Bazaar,Wheat,Grade A,2188,2713,2450.5,,,
05/07/2026,Uttar Pradesh,Pune,Patna Bazaar,Cotton,Grade A,2684,3385,3034.5,,,
04/11/2021,Bihar,Patna,Lucknow Mandi,Onion,Standard,2486,2941,2854,,,
03/04/2020,Maharashtra,Ludhiana,Kolkata Market,Wheat,Unknown,1701,2296,1775,,,
03/10/2025,Rajasthan,Coimbatore,APMC Pune,Wheat,Grade A,1110,1253,1244,,,
07/04/2024,Karnataka,Kolkata,Mysuru Yard,Tomato,Grade A,2611,2945,2793,,,
12/07/2022,Bihar,Patna,Ludhiana Market,Cotton,Local,2087,2230,2210,,,
02/01/2024,Punjab,Kolkata,APMC Pune,Soyabean,Grade A,2462,2955,2708.5,,,
03/01/2022,West Bengal,Coimbatore,Coimbatore Mandi,Onion,Hybrid,2020,2791,2160,,,
07/10/2025,Punjab,Mysuru,Jaipur Mandi,Onion,Standard,1196,1860,1328,,,
02/12/2025,Tamil Nadu,Lucknow,Mysuru Yard,Onion,Grade A,844,1642,1572,,,
05/01/2023,Rajasthan,Coimbatore,APMC Pune,Maize,Grade A,2104,2733,2324,,,
11/03/2024,Punjab,Kolkata,Jaipur Mandi,Onion,Local,1490,2123,2032,,,
04/06/2023,Maharashtra,Jaipur,Kolkata Market,Wheat,Faq,1173,1782,1652,,,
07/01/2022,Karnataka,Ludhiana,Mysuru Yard,Tomato,Grade A,1222,1352,1346,,,
02/11/2020,West Bengal,Patna,Jaipur Mandi,Onion,Standard,883,1148,1008,,,
06/08/2022,Bihar,Lucknow,APMC Pune,Rice,Grade A,2964,3071,3017.5,,,
01/02/2024,Karnataka,Coimbatore,Patna Bazaar,Rice,Hybrid,2546,3186,2866,,,
02/03/2023,Karnataka,Jaipur,Jaipur Mandi,Cotton,Grade A,2559,3049,2768,,,
07/08/2021,Maharashtra,Mysuru,Lucknow Mandi,Tomato,Hybrid,2505,2695,2522,,,
03/06/2021,Bihar,Coimbatore,Mysuru Yard,Maize,Standard,1718,2181,1949.5,,,
10/04/2022,Punjab,Kolkata,Mysuru Yard,Potato,Grade A,2697,3378,2787,,,
05/12/2023,Rajasthan,Lucknow,Patna Bazaar,Wheat,Hybrid,952,1520,1404,,,
01/01/2023,Bihar,Pune,Lucknow Mandi,Rice,Unknown,1013,1277,1109,,,
06/15/2024,Karnataka,Kolkata,APMC Pune,Onion,Grade A,984,1628,1416,,,
08/30/2023,Punjab,Jaipur,Patna Bazaar,Rice,Unknown,2091,2591,2589,,,
01/12/2023,West Bengal,Ludhiana,Mysuru Yard,Maize,Faq,1784,2207,2056,,,
04/06/2021,West Bengal,Mysuru,Kolkata Market,Wheat,Premium,2030,2480,2255,,,
08/12/2023,Bihar,Coimbatore,Lucknow Mandi,Wheat,Local,2101,2570,2335.5,,,
05/08/2020,West Bengal,Lucknow,APMC Pune,Potato,Standard,2478,2647,2572,,,
02/05/2024,Bihar,Pune,APMC Pune,Onion,Grade A,2251,2858,2547,,,
07/06/2021,Tamil Nadu,Coimbatore,APMC Pune,Cotton,Unknown,2918,3397,3279,,,
07/08/2021,Bihar,Jaipur,Coimbatore Mandi,Soyabean,Local,1324,1700,1512,,,
09/06/2021,Maharashtra,Lucknow,Mysuru Yard,Maize,Unknown,926,1135,930,,,
09/10/2023,Uttar Pradesh,Jaipur,Kolkata Market,Onion,Hybrid,2810,3346,3213,,,
01/16/2018,Bihar,Coimbatore,Patna Bazaar,Wheat,Faq,2958,3133,3101,,,
09/08/2023,West Bengal,Mysuru,Mysuru Yard,Wheat,Grade A,1532,1940,1789,,,
04/22/2020,Maharashtra,Kolkata,Mysuru Yard,Tomato,Hybrid,2305,2994,2325,,,
10/07/2023,Bihar,Pune,Patna Bazaar,Onion,Local,1503,1684,1538,,,
04/15/2022,Punjab,Jaipur,Kolkata Market,Maize,Grade A,2589,2830,2709.5,,,
03/02/2023,West Bengal,Mysuru,Coimbatore Mandi,Potato,Standard,1545,2343,1944,,,
03/04/2024,Rajasthan,Lucknow,Lucknow Mandi,Soyabean,Standard,856,1131,883,,,
02/11/2020,Karnataka,Kolkata,Coimbatore Mandi,Cotton,Local,848,1347,1042,,,
10/06/2024,Tamil Nadu,Jaipur,Lucknow Mandi,Tomato,Hybrid,1776,2024,1888,,,
04/04/2020,West Bengal,Jaipur,Mysuru Yard,Onion,Grade A,2028,2183,2105.5,,,
04/03/2021,Punjab,Patna,APMC Pune,Rice,Faq,2448,3223,2755,,,
07/01/2021,Karnataka,Jaipur,Lucknow Mandi,Cotton,Premium,2031,2615,2323,,,
04/12/2020,Bihar,Ludhiana,Patna Bazaar,Onion,Local,1996,2136,2126,,,
09/05/2023,Tamil Nadu,Patna,Mysuru Yard,Wheat,Local,1963,2301,2132,,,
03/31/2022,Punjab,Jaipur,Jaipur Mandi,Maize,Premium,2044,2579,2148,,,
11/09/2023,Tamil Nadu,Ludhiana,Patna Bazaar,Potato,Unknown,1640,2227,1933.5,,,
03/08/2024,West Bengal,Ludhiana,Jaipur Mandi,Wheat,Grade A,2547,2865,2788,,,
11/10/2019,Karnataka,Jaipur,Kolkata Market,Wheat,Hybrid,943,1146,1022,,,
10/15/2019,Tamil Nadu,Lucknow,Kolkata Market,Potato,Unknown,1510,1801,1655.5,,,
04/11/2019,Karnataka,Mysuru,Kolkata Market,Soyabean,Grade A,2797,3358,3198,,,
03/29/2019,Rajasthan,Lucknow,APMC Pune,Maize,Faq,1315,1632,1566,,,
08/10/2018,Rajasthan,Lucknow,Patna Bazaar,Cotton,Premium,1321,1509,1420,,,
05/09/2024,Rajasthan,Coimbatore,Coimbatore Mandi,Onion,Grade A,1021,1483,1332,,,
03/08/2019,Rajasthan,Patna,Jaipur Mandi,Onion,Grade A,1004,1130,1102,,,
07/05/2019,Bihar,Pune,Kolkata Market,Cotton,Unknown,839,1537,954,,,
03/12/2023,Punjab,Lucknow,Mysuru Yard,Onion,Unknown,1121,1454,1277,,,
10/23/2020,Punjab,Lucknow,Mysuru Yard,Soyabean,Faq,2352,2863,2607.5,,,
05/12/2020,Bihar,Lucknow,Lucknow Mandi,Cotton,Hybrid,2349,2507,2464,,,
05/09/2021,Uttar Pradesh,Patna,Jaipur Mandi,Soyabean,Standard,2276,2542,2366,,,
07/05/2019,West Bengal,Patna,Coimbatore Mandi,Onion,Unknown,2932,3052,2965,,,
01/12/2021,Punjab,Jaipur,Patna Bazaar,Maize,Premium,2483,3280,2785,,,
02/05/2020,Bihar,Kolkata,Patna Bazaar,Cotton,Premium,2345,2887,2616,,,
07/10/2024,Maharashtra,Ludhiana,Lucknow Mandi,Tomato,Grade A,1171,1468,1207,,,
08/05/2025,Bihar,Mysuru,APMC Pune,Cotton,Unknown,1754,2312,2033,,,
09/07/2024,Uttar Pradesh,Pune,Mysuru Yard,Soyabean,Unknown,1054,1504,1398,,,
04/09/2019,Rajasthan,Mysuru,Ludhiana Market,Potato,Faq,1825,2325,2305,,,
05/28/2019,Tamil Nadu,Pune,Lucknow Mandi,Wheat,Premium,2190,2790,2248,,,
03/03/2023,Bihar,Mysuru,Mysuru Yard,Rice,Local,898,1091,917,,,
04/06/2022,Karnataka,Lucknow,Ludhiana Market,Potato,Grade A,2634,2842,2738,,,
03/05/2022,Maharashtra,Mysuru,Lucknow Mandi,Onion,Faq,2517,2795,2656,,,
12/14/2021,Bihar,Kolkata,Coimbatore Mandi,Potato,Hybrid,2358,2458,2391,,,
01/08/2019,Rajasthan,Ludhiana,Mysuru Yard,Cotton,Grade A,1495,1843,1815,,,
09/12/2020,Punjab,Ludhiana,Patna Bazaar,Soyabean,Unknown,1958,2745,2443,,,
02/08/2019,Tamil Nadu,Patna,Jaipur Mandi,Tomato,Standard,1430,1579,1548,,,
02/15/2024,Tamil Nadu,Jaipur,Lucknow Mandi,Cotton,Standard,2406,2635,2445,,,
09/06/2020,Rajasthan,Lucknow,APMC Pune,Potato,Unknown,2966,3148,3051,,,
11/05/2020,Punjab,Patna,Coimbatore Mandi,Wheat,Grade A,2309,2423,2366,,,
08/17/2019,Punjab,Lucknow,Kolkata Market,Onion,Premium,2768,3325,3139,,,
02/09/2022,Rajasthan,Pune,Lucknow Mandi,Maize,Local,1611,1964,1787.5,,,
08/02/2019,Bihar,Kolkata,Ludhiana Market,Cotton,Grade A,1260,1989,1793,,,
03/05/2019,Bihar,Pune,Lucknow Mandi,Rice,Local,1609,1884,1728,,,
10/02/2022,Rajasthan,Jaipur,Coimbatore Mandi,Onion,Premium,1359,1540,1436,,,
03/08/2020,Rajasthan,Ludhiana,Ludhiana Market,Tomato,Grade A,2574,2726,2630,,,
12/06/2019,West Bengal,Ludhiana,Ludhiana Market,Wheat,Grade A,2431,3151,2540,,,
03/08/2022,Tamil Nadu,Coimbatore,APMC Pune,Cotton,Grade A,2815,3013,2903,,,
06/10/2023,Rajasthan,Pune,Patna Bazaar,Rice,Grade A,1046,1314,1180,,,
08/10/2022,Karnataka,Ludhiana,Mysuru Yard,Potato,Grade A,812,1027,919.5,,,
07/31/2022,Uttar Pradesh,Patna,Kolkata Market,Cotton,Grade A,1721,2301,1963,,,
10/03/2019,Tamil Nadu,Ludhiana,Coimbatore Mandi,Wheat,Premium,2423,3199,2811,,,
08/12/2023,Maharashtra,Pune,Coimbatore Mandi,Cotton,Unknown,1016,1809,1412.5,,,
01/09/2018,Maharashtra,Lucknow,Patna Bazaar,Cotton,Premium,2927,3230,3201,,,
12/14/2022,Karnataka,Pune,Kolkata Market,Wheat,Unknown,2335,2704,2519.5,,,
01/11/2025,Uttar Pradesh,Jaipur,Jaipur Mandi,Tomato,Standard,1913,2099,1966,,,
09/01/2022,West Bengal,Jaipur,Kolkata Market,Soyabean,Grade A,1052,1796,1424,,,
03/01/2020,Karnataka,Mysuru,Patna Bazaar,Potato,Premium,1282,1593,1349,,,
02/10/2024,Punjab,Pune,APMC Pune,Potato,Standard,2200,2534,2526,,,
05/05/2026,Bihar,Coimbatore,APMC Pune,Wheat,Hybrid,1388,2004,1544,,,
10/06/2020,Punjab,Patna,Kolkata Market,Maize,Grade A,1117,1750,1243,,,
01/15/2023,Punjab,Kolkata,Lucknow Mandi,Rice,Standard,2728,3423,3196,,,
09/04/2019,Bihar,Kolkata,Lucknow Mandi,Soyabean,Local,1763,2274,2018.5,,,
07/10/2024,Punjab,Lucknow,APMC Pune,Tomato,Premium,2200,2821,2510.5,,,
12/06/2024,Rajasthan,Kolkata,Mysuru Yard,Cotton,Faq,2904,3195,3049.5,,,
12/04/2023,Punjab,Patna,Coimbatore Mandi,Rice,Local,1666,1910,1788,,,
04/09/2020,Bihar,Lucknow,Patna Bazaar,Onion,Premium,2133,2575,2354,,,
09/10/2019,Tamil Nadu,Lucknow,Coimbatore Mandi,Maize,Local,1088,1727,1586,,,
02/03/2023,West Bengal,Pune,Jaipur Mandi,Soyabean,Premium,897,1099,1020,,,
03/12/2025,Rajasthan,Kolkata,Patna Bazaar,Rice,Premium,1211,1966,1588,,,
06/10/2025,Punjab,Kolkata,Ludhiana Market,Onion,Unknown,1902,2691,2308,,,
02/11/2022,West Bengal,Ludhiana,Ludhiana Market,Tomato,Premium,1412,2087,1560,,,
06/14/2024,Uttar Pradesh,Lucknow,Patna Bazaar,Cotton,Faq,2163,2497,2363,,,
09/16/2023,Rajasthan,Kolkata,Ludhiana Market,Soyabean,Grade A,2830,3353,2936,,,
06/01/2022,Uttar Pradesh,Pune,Mysuru Yard,Maize,Faq,939,1100,1024,,,
06/13/2019,Maharashtra,Lucknow,Jaipur Mandi,Onion,Standard,827,1349,1221,,,
02/02/2020,Bihar,Jaipur,Coimbatore Mandi,Maize,Unknown,1891,2247,2052,,,
09/14/2024,Punjab,Ludhiana,Kolkata Market,Tomato,Hybrid,2954,3159,3056.5,,,
02/06/2022,Rajasthan,Lucknow,Kolkata Market,Wheat,Unknown,1147,1752,1610,,,mo
08/03/2020,Bihar,Coimbatore,APMC Pune,Tomato,Unknown,1970,2724,2705,,,
08/01/2024,Maharashtra,Coimbatore,Ludhiana Market,Maize,Faq,2781,3426,3090,,,
01/11/2025,Tamil Nadu,Kolkata,APMC Pune,Wheat,Hybrid,2871,3077,3009,,,
12/11/2024,Rajasthan,Mysuru,Patna Bazaar,Wheat,Premium,1861,2340,2018,,,
01/16/2018,Punjab,Pune,APMC Pune,Potato,Hybrid,1051,1168,1060,,,
02/09/2024,Punjab,Patna,Lucknow Mandi,Rice,Hybrid,2696,3030,2863,,,
03/07/2018,Uttar Pradesh,Lucknow,Coimbatore Mandi,Onion,Faq,2301,2695,2586,,,
07/05/2022,Tamil Nadu,Jaipur,Ludhiana Market,Potato,Faq,2319,2953,2839,,,
04/09/2022,Rajasthan,Pune,Patna Bazaar,Potato,Hybrid,2677,3038,3002,,,
08/20/2023,West Bengal,Coimbatore,Kolkata Market,Soyabean,Grade A,2770,3312,3292,,,
02/07/2026,Punjab,Pune,Coimbatore Mandi,Cotton,Grade A,1211,1608,1409.5,,,
11/02/2023,Uttar Pradesh,Mysuru,Mysuru Yard,Wheat,Grade A,2453,2718,2568,,,
01/05/2021,Karnataka,Kolkata,Mysuru Yard,Rice,Grade A,2856,2963,2926,,,
05/16/2018,Bihar,Mysuru,Kolkata Market,Rice,Local,2262,2728,2274,,,
10/06/2022,Uttar Pradesh,Kolkata,Ludhiana Market,Wheat,Hybrid,2652,2995,2973,,,
09/15/2018,Maharashtra,Kolkata,Jaipur Mandi,Onion,Local,2939,3561,3180,,,
01/05/2026,Karnataka,Jaipur,Patna Bazaar,Maize,Premium,2643,3158,3132,,,
05/06/2022,Maharashtra,Patna,Lucknow Mandi,Rice,Grade A,2193,2686,2602,,,
05/02/2018,Punjab,Mysuru,Patna Bazaar,Cotton,Unknown,2002,2689,2664,,,
06/08/2023,Uttar Pradesh,Kolkata,APMC Pune,Wheat,Local,1298,1580,1439,,,
07/04/2020,Punjab,Jaipur,APMC Pune,Rice,Hybrid,1757,2256,2006.5,,,
09/19/2024,Uttar Pradesh,Patna,Coimbatore Mandi,Tomato,Faq,1283,1846,1564.5,,,
07/08/2020,Karnataka,Pune,APMC Pune,Maize,Hybrid,1948,2613,2205,,,
02/08/2019,Uttar Pradesh,Coimbatore,Jaipur Mandi,Onion,Standard,2862,3289,3279,,,
08/24/2018,Karnataka,Mysuru,Jaipur Mandi,Onion,Hybrid,1406,1739,1651,,,
10/09/2018,Punjab,Coimbatore,Kolkata Market,Potato,Hybrid,2028,2362,2035,,,
07/04/2019,Karnataka,Jaipur,Ludhiana Market,Tomato,Grade A,2212,2450,2441,,,
09/09/2022,Maharashtra,Lucknow,Jaipur Mandi,Cotton,Premium,2415,2757,2537,,,
11/27/2022,West Bengal,Mysuru,Lucknow Mandi,Tomato,Hybrid,1747,2139,2123,,,
08/07/2021,Maharashtra,Ludhiana,Lucknow Mandi,Onion,Premium,2415,2688,2551.5,,,
05/27/2019,Tamil Nadu,Mysuru,Ludhiana Market,Potato,Local,1417,2138,1939,,,
01/02/2020,Punjab,Ludhiana,APMC Pune,Wheat,Grade A,1275,2014,1985,,,
09/10/2024,Punjab,Lucknow,Lucknow Mandi,Onion,Grade A,1992,2422,2114,,,
11/11/2020,Uttar Pradesh,Ludhiana,Mysuru Yard,Potato,Grade A,2285,2979,2842,,,
03/02/2019,Bihar,Jaipur,Mysuru Yard,Maize,Grade A,819,964,953,,,
10/06/2018,Tamil Nadu,Kolkata,Coimbatore Mandi,Cotton,Unknown,2045,2808,2165,,,
02/04/2023,Punjab,Pune,Coimbatore Mandi,Cotton,Hybrid,1804,2544,2174,,,
10/26/2020,Bihar,Kolkata,Jaipur Mandi,Rice,Unknown,2391,2838,2614.5,,,
07/02/2024,Maharashtra,Coimbatore,Jaipur Mandi,Soyabean,Unknown,2154,2330,2242,,,
12/18/2022,Uttar Pradesh,Pune,Kolkata Market,Tomato,Unknown,1211,1415,1410,,,
11/16/2022,Karnataka,Jaipur,Kolkata Market,Cotton,Standard,2704,3126,2848,,,
04/08/2022,Tamil Nadu,Ludhiana,Ludhiana Market,Potato,Standard,1572,2020,2004,,,
06/01/2022,West Bengal,Kolkata,Jaipur Mandi,Tomato,Grade A,2689,3240,2964.5,,,
11/02/2020,Punjab,Ludhiana,Jaipur Mandi,Potato,Faq,1394,1942,1668,,,
12/19/2020,Karnataka,Ludhiana,APMC Pune,Tomato,Unknown,1990,2456,2296,,,
09/18/2021,Maharashtra,Mysuru,Kolkata Market,Potato,Premium,1885,2196,1947,,,
12/02/2020,Maharashtra,Kolkata,Mysuru Yard,Maize,Grade A,2923,3276,3223,,,
12/17/2020,West Bengal,Coimbatore,Jaipur Mandi,Tomato,Grade A,1421,1923,1672,,,
12/30/2023,Bihar,Ludhiana,Mysuru Yard,Onion,Grade A,1141,1470,1305.5,,,
03/29/2021,Rajasthan,Jaipur,Ludhiana Market,Tomato,Grade A,2450,2734,2617,,,
11/03/2021,Punjab,Ludhiana,Patna Bazaar,Tomato,Grade A,2336,2926,2631,,,
07/06/2021,Tamil Nadu,Coimbatore,Jaipur Mandi,Cotton,Hybrid,2106,2632,2404,,,
03/01/2024,Bihar,Mysuru,Patna Bazaar,Maize,Local,2239,2744,2355,,,
09/02/2021,Uttar Pradesh,Mysuru,Jaipur Mandi,Cotton,Faq,895,1222,1095,,,
11/03/2022,Rajasthan,Coimbatore,Coimbatore Mandi,Rice,Grade A,2348,3044,2548,,,
02/02/2024,Tamil Nadu,Pune,Patna Bazaar,Potato,Local,2806,3013,2909.5,,,
03/03/2026,Punjab,Jaipur,Coimbatore Mandi,Maize,Faq,1016,1633,1183,,,
06/07/2022,Punjab,Ludhiana,Kolkata Market,Potato,Local,1644,2100,2053,,,
06/03/2022,Maharashtra,Jaipur,Patna Bazaar,Soyabean,Hybrid,2896,3659,3518,,,
01/12/2023,Rajasthan,Lucknow,Ludhiana Market,Wheat,Local,1661,2013,1819,,,
06/02/2022,Tamil Nadu,Kolkata,Patna Bazaar,Maize,Grade A,1011,1261,1136,,,
09/01/2021,Rajasthan,Kolkata,Lucknow Mandi,Wheat,Premium,1734,2384,2172,,,
12/04/2024,Uttar Pradesh,Ludhiana,Coimbatore Mandi,Tomato,Premium,1263,2013,1295,,,
10/25/2022,West Bengal,Pune,Lucknow Mandi,Wheat,Premium,1680,2110,1759,,,
02/04/2023,Uttar Pradesh,Jaipur,APMC Pune,Rice,Premium,2848,3164,2959,,,
03/21/2021,Bihar,Patna,APMC Pune,Maize,Premium,2447,2645,2506,,,
08/11/2021,Punjab,Patna,Coimbatore Mandi,Potato,Grade A,2467,3180,2780,,,
10/11/2023,Rajasthan,Pune,Coimbatore Mandi,Tomato,Local,1075,1712,1611,,,
03/08/2022,Maharashtra,Ludhiana,APMC Pune,Potato,Grade A,1305,1642,1600,,,
09/01/2020,West Bengal,Ludhiana,Lucknow Mandi,Wheat,Local,951,1362,1103,,,
02/06/2023,Uttar Pradesh,Kolkata,Patna Bazaar,Soyabean,Standard,2351,2704,2466,,,
01/12/2021,Maharashtra,Lucknow,Patna Bazaar,Onion,Local,941,1527,1485,,,
07/04/2019,Maharashtra,Lucknow,APMC Pune,Potato,Grade A,2175,2395,2390,,,
06/03/2020,Rajasthan,Lucknow,Kolkata Market,Rice,Local,2313,2578,2342,,,
06/23/2019,Rajasthan,Kolkata,Kolkata Market,Maize,Local,2433,2759,2727,,,
10/01/2022,West Bengal,Patna,Kolkata Market,Potato,Local,1701,2314,2007.5,,,
08/06/2018,Tamil Nadu,Pune,Kolkata Market,Soyabean,Premium,2857,3263,3100,,,
04/05/2019,Rajasthan,Patna,Lucknow Mandi,Cotton,Unknown,1951,2197,2073,,,
03/09/2022,Rajasthan,Patna,Ludhiana Market,Soyabean,Grade A,1916,2135,1986,,,
02/09/2020,Karnataka,Ludhiana,Jaipur Mandi,Potato,Premium,1149,1368,1294,,,
02/11/2020,Maharashtra,Kolkata,Patna Bazaar,Wheat,Local,1219,1740,1472,,,
10/01/2019,Karnataka,Pune,Lucknow Mandi,Potato,Unknown,909,1582,1011,,,
01/10/2024,Bihar,Coimbatore,Kolkata Market,Wheat,Standard,1020,1162,1091,,,
01/27/2018,Tamil Nadu,Mysuru,Mysuru Yard,Potato,Standard,1029,1754,1391.5,,,
02/01/2023,Uttar Pradesh,Lucknow,Kolkata Market,Tomato,Grade A,1152,1770,1461,,,
12/06/2021,West Bengal,Lucknow,Jaipur Mandi,Soyabean,Grade A,1522,1717,1549,,,
11/12/2018,Maharashtra,Coimbatore,Lucknow Mandi,Maize,Premium,2972,3705,3359,,,
04/06/2025,Maharashtra,Patna,Patna Bazaar,Potato,Standard,1503,1870,1590,,,
09/06/2022,Uttar Pradesh,Mysuru,Jaipur Mandi,Wheat,Faq,2887,3603,3245,,,
06/01/2023,Maharashtra,Kolkata,Lucknow Mandi,Tomato,Standard,1129,1249,1141,,,
06/09/2023,Punjab,Jaipur,Coimbatore Mandi,Potato,Local,848,1426,1295,,,
06/07/2020,West Bengal,Lucknow,APMC Pune,Wheat,Unknown,2663,3023,2843,,,
07/09/2019,Karnataka,Coimbatore,APMC Pune,Potato,Faq,2724,3481,3080,,,
07/17/2019,Maharashtra,Kolkata,Kolkata Market,Wheat,Grade A,882,1146,1014,,,
07/11/2024,Rajasthan,Lucknow,APMC Pune,Rice,Standard,1430,1604,1569,,,
10/31/2023,Uttar Pradesh,Coimbatore,Lucknow Mandi,Potato,Local,2347,3104,2723,,,
