Arrival_Date,State,District,Market,Commodity,Variety,Min_Price, Max_Price,Modal_Price,Year,Month,Month_Name,Season,Price_Spread,Price_Position_Index,Profit_Opportunity_Indicator,National_Commodity_Average,Relative_Market_Advantage
3/1/2022,West Bengal,Kolkata,Kolkata Market,Onion,Hybrid,1141.00,1368.00,1358.00,2022,3,March,Summer,227.00,0.96,Normal,2967.977922,-1609.98
7/10/2025,Punjab,Ludhiana,Ludhiana Market,Onion,Standard,2145.00,3244.00,2885.00,2025,7,July,Kharif,1099.00,0.67,Normal,2967.977922,-82.98
2/12/2025,Tamil Nadu,Coimbatore,Coimbatore Mandi,Onion,Grade A,3902.00,4119.00,3999.00,2025,2,February,Summer,217.00,0.45,High,2967.977922,1031.02
5/1/2023,Rajasthan,Jaipur,Jaipur Mandi,Maize,Grade A,2154.00,2278.00,2241.00,2023,5,May,Summer,124.00,0.7,Normal,1970.373775,270.63
11/3/2024,Punjab,Ludhiana,Ludhiana Market,Onion,Local,3642.00,4564.00,3745.00,2024,11,November,Rabi,922.00,0.11,High,2967.977922,777.02
4/6/2023,Maharashtra,Pune,APMC Pune,Wheat,Faq,1780.00,2054.00,1804.00,2023,4,April,Summer,274.00,0.09,Normal,2364.839335,-560.84
7/1/2022,Karnataka,Mysuru,Mysuru Yard,Tomato,Grade A,1067.00,1788.00,1494.00,2022,7,July,Kharif,721.00,0.59,Normal,2353.777929,-859.78
2/11/2020,West Bengal,Kolkata,Kolkata Market,Onion,Standard,2568.00,2927.00,2727.00,2020,2,February,Summer,359.00,0.44,Normal,2967.977922,-240.98
6/8/2022,Bihar,Patna,Patna Bazaar,Rice,Grade A,4436.00,4548.00,4492.00,2022,6,June,Kharif,112.00,0.5,High,3493.108757,998.89
1/2/2024,Karnataka,Mysuru,Mysuru Yard,Rice,Hybrid,4342.00,4988.00,4665.00,2024,1,January,Rabi,646.00,0.5,High,3493.108757,1171.89
2/3/2023,Karnataka,Mysuru,Mysuru Yard,Cotton,Grade A,4378.00,5228.00,5195.00,2023,2,February,Summer,850.00,0.96,High,5789.811921,-594.81
7/8/2021,Maharashtra,Pune,APMC Pune,Tomato,Hybrid,1367.00,1915.00,1451.00,2021,7,July,Kharif,548.00,0.15,Normal,2353.777929,-902.78
3/6/2021,Bihar,Patna,Patna Bazaar,Maize,Standard,1392.00,1858.00,1625.00,2021,3,March,Summer,466.00,0.5,Normal,1970.373775,-345.37
10/4/2022,Punjab,Ludhiana,Ludhiana Market,Potato,Grade A,479.00,977.00,499.00,2022,10,October,Rabi,498.00,0.04,Normal,1290.850866,-791.85
5/12/2023,Rajasthan,Jaipur,Jaipur Mandi,Wheat,Hybrid,2437.00,2790.00,2659.00,2023,5,May,Summer,353.00,0.63,Normal,2364.839335,294.16
1/1/2023,Bihar,Patna,Patna Bazaar,Rice,Unknown,4133.00,4420.00,4141.00,2023,1,January,Rabi,287.00,0.03,High,3493.108757,647.89
6/15/2024,Karnataka,Mysuru,Mysuru Yard,Onion,Grade A,1476.00,1741.00,1643.00,2024,6,June,Kharif,265.00,0.63,Normal,2967.977922,-1324.98
8/30/2023,Punjab,Ludhiana,Ludhiana Market,Rice,Unknown,4113.00,4426.00,4118.00,2023,8,August,Kharif,313.00,0.02,High,3493.108757,624.89
1/12/2023,West Bengal,Kolkata,Kolkata Market,Maize,Faq,2219.00,2437.00,2435.00,2023,1,January,Rabi,218.00,0.99,Normal,1970.373775,464.63
4/6/2021,West Bengal,Kolkata,Kolkata Market,Wheat,Premium,2473.00,2632.00,2553.00,2021,4,April,Summer,159.00,0.5,Normal,2364.839335,188.16
8/12/2023,Bihar,Patna,Patna Bazaar,Wheat,Local,1712.00,1840.00,1776.00,2023,8,August,Kharif,128.00,0.5,Normal,2364.839335,-588.84
5/8/2020,West Bengal,Kolkata,Kolkata Market,Potato,Standard,1589.00,1942.00,1658.00,2020,5,May,Summer,353.00,0.2,Normal,1290.850866,367.15
2/5/2024,Bihar,Patna,Patna Bazaar,Onion,Grade A,1393.00,1849.00,1775.00,2024,2,February,Summer,456.00,0.84,Normal,2967.977922,-1192.98
7/6/2021,Tamil Nadu,Coimbatore,Coimbatore Mandi,Cotton,Unknown,4579.00,4703.00,4586.00,2021,7,July,Kharif,124.00,0.06,High,5789.811921,-1203.81
7/8/2021,Bihar,Patna,Patna Bazaar,Soyabean,Local,3326.00,4154.00,3740.00,2021,7,July,Kharif,828.00,0.5,High,4476.642473,-736.64
9/6/2021,Maharashtra,Pune,APMC Pune,Maize,Unknown,1417.00,1528.00,1450.00,2021,9,September,Kharif,111.00,0.3,Normal,1970.373775,-520.37
9/10/2023,Uttar Pradesh,Lucknow,Lucknow Mandi,Onion,Hybrid,3413.00,3569.00,3468.00,2023,9,September,Kharif,156.00,0.35,High,2967.977922,500.02
1/16/2018,Bihar,Patna,Patna Bazaar,Wheat,Faq,2407.00,2523.00,2490.00,2018,1,January,Rabi,116.00,0.72,Normal,2364.839335,125.16
9/8/2023,West Bengal,Kolkata,Kolkata Market,Wheat,Grade A,2148.00,2390.00,2300.00,2023,9,September,Kharif,242.00,0.63,Normal,2364.839335,-64.84
4/22/2020,Maharashtra,Pune,APMC Pune,Tomato,Hybrid,649.00,1705.00,794.00,2020,4,April,Summer,1056.00,0.14,Normal,2353.777929,-1559.78
10/7/2023,Bihar,Patna,Patna Bazaar,Onion,Local,1294.00,1923.00,1817.00,2023,10,October,Rabi,629.00,0.83,Normal,2967.977922,-1150.98
4/15/2022,Punjab,Ludhiana,Ludhiana Market,Maize,Grade A,2310.00,2580.00,2445.00,2022,4,April,Summer,270.00,0.5,Normal,1970.373775,474.63
3/2/2023,West Bengal,Kolkata,Kolkata Market,Potato,Standard,1605.00,1966.00,1786.00,2023,3,March,Summer,361.00,0.5,Normal,1290.850866,495.15
3/4/2024,Rajasthan,Jaipur,Jaipur Mandi,Soyabean,Standard,5000.00,5472.00,5445.00,2024,3,March,Summer,472.00,0.94,High,4476.642473,968.36
2/11/2020,Karnataka,Mysuru,Mysuru Yard,Cotton,Local,5064.00,5558.00,5333.00,2020,2,February,Summer,494.00,0.54,High,5789.811921,-456.81
10/6/2024,Tamil Nadu,Coimbatore,Coimbatore Mandi,Tomato,Hybrid,1184.00,1806.00,1352.00,2024,10,October,Rabi,622.00,0.27,Normal,2353.777929,-1001.78
4/4/2020,West Bengal,Kolkata,Kolkata Market,Onion,Grade A,3688.00,3944.00,3816.00,2020,4,April,Summer,256.00,0.5,High,2967.977922,848.02
4/3/2021,Punjab,Ludhiana,Ludhiana Market,Rice,Faq,2011.00,2787.00,2366.00,2021,4,April,Summer,776.00,0.46,Normal,3493.108757,-1127.11
7/1/2021,Karnataka,Mysuru,Mysuru Yard,Cotton,Premium,6380.00,7308.00,6844.00,2021,7,July,Kharif,928.00,0.5,High,5789.811921,1054.19
4/12/2020,Bihar,Patna,Patna Bazaar,Onion,Local,4171.00,4790.00,4228.00,2020,4,April,Summer,619.00,0.09,High,2967.977922,1260.02
9/5/2023,Tamil Nadu,Coimbatore,Coimbatore Mandi,Wheat,Local,2262.00,2598.00,2430.00,2023,9,September,Kharif,336.00,0.5,Normal,2364.839335,65.16
3/31/2022,Punjab,Ludhiana,Ludhiana Market,Maize,Premium,1592.00,2003.00,1909.00,2022,3,March,Summer,411.00,0.77,Normal,1970.373775,-61.37
11/9/2023,Tamil Nadu,Coimbatore,Coimbatore Mandi,Potato,Unknown,1572.00,1893.00,1733.00,2023,11,November,Rabi,321.00,0.5,Normal,1290.850866,442.15
3/8/2024,West Bengal,Kolkata,Kolkata Market,Wheat,Grade A,2701.00,3236.00,2733.00,2024,3,March,Summer,535.00,0.06,Normal,2364.839335,368.16
11/10/2019,Karnataka,Mysuru,Mysuru Yard,Wheat,Hybrid,2389.00,2589.00,2532.00,2019,11,November,Rabi,200.00,0.72,Normal,2364.839335,167.16
10/15/2019,Tamil Nadu,Coimbatore,Coimbatore Mandi,Potato,Unknown,533.00,646.00,590.00,2019,10,October,Rabi,113.00,0.5,Normal,1290.850866,-700.85
4/11/2019,Karnataka,Mysuru,Mysuru Yard,Soyabean,Grade A,4144.00,4691.00,4364.00,2019,4,April,Summer,547.00,0.4,High,4476.642473,-112.64
3/29/2019,Rajasthan,Jaipur,Jaipur Mandi,Maize,Faq,1457.00,1803.00,1800.00,2019,3,March,Summer,346.00,0.99,Normal,1970.373775,-170.37
8/10/2018,Rajasthan,Jaipur,Jaipur Mandi,Cotton,Premium,4708.00,5552.00,5334.00,2018,8,August,Kharif,844.00,0.74,High,5789.811921,-455.81
5/9/2024,Rajasthan,Jaipur,Jaipur Mandi,Onion,Grade A,3251.00,4081.00,3306.00,2024,5,May,Summer,830.00,0.07,High,2967.977922,338.02
3/8/2019,Rajasthan,Jaipur,Jaipur Mandi,Onion,Grade A,1491.00,2161.00,1687.00,2019,3,March,Summer,670.00,0.29,Normal,2967.977922,-1280.98
7/5/2019,Bihar,Patna,Patna Bazaar,Cotton,Unknown,6775.00,6979.00,6920.00,2019,7,July,Kharif,204.00,0.71,High,5789.811921,1130.19
3/12/2023,Punjab,Ludhiana,Ludhiana Market,Onion,Unknown,4461.00,5079.00,4591.00,2023,3,March,Summer,618.00,0.21,High,2967.977922,1623.02
10/23/2020,Punjab,Ludhiana,Ludhiana Market,Soyabean,Faq,4014.00,4674.00,4344.00,2020,10,October,Rabi,660.00,0.5,High,4476.642473,-132.64
5/12/2020,Bihar,Patna,Patna Bazaar,Cotton,Hybrid,5273.00,5493.00,5483.00,2020,5,May,Summer,220.00,0.95,High,5789.811921,-306.81
5/9/2021,Uttar Pradesh,Lucknow,Lucknow Mandi,Soyabean,Standard,4058.00,4628.00,4199.00,2021,5,May,Summer,570.00,0.25,High,4476.642473,-277.64
7/5/2019,West Bengal,Kolkata,Kolkata Market,Onion,Unknown,954.00,1388.00,1301.00,2019,7,July,Kharif,434.00,0.8,Normal,2967.977922,-1666.98
1/12/2021,Punjab,Ludhiana,Ludhiana Market,Maize,Premium,2282.00,2754.00,2650.00,2021,1,January,Rabi,472.00,0.78,Normal,1970.373775,679.63
2/5/2020,Bihar,Patna,Patna Bazaar,Cotton,Premium,6276.00,7230.00,6753.00,2020,2,February,Summer,954.00,0.5,High,5789.811921,963.19
7/10/2024,Maharashtra,Pune,APMC Pune,Tomato,Grade A,524.00,1224.00,635.00,2024,7,July,Kharif,700.00,0.16,Normal,2353.777929,-1718.78
8/5/2025,Bihar,Patna,Patna Bazaar,Cotton,Unknown,6347.00,7282.00,6815.00,2025,8,August,Kharif,935.00,0.5,High,5789.811921,1025.19
9/7/2024,Uttar Pradesh,Lucknow,Lucknow Mandi,Soyabean,Unknown,4335.00,5242.00,4555.00,2024,9,September,Kharif,907.00,0.24,High,4476.642473,78.36
4/9/2019,Rajasthan,Jaipur,Jaipur Mandi,Potato,Faq,428.00,531.00,517.00,2019,4,April,Summer,103.00,0.86,Normal,1290.850866,-773.85
5/28/2019,Tamil Nadu,Coimbatore,Coimbatore Mandi,Wheat,Premium,2556.00,2804.00,2717.00,2019,5,May,Summer,248.00,0.65,Normal,2364.839335,352.16
3/3/2023,Bihar,Patna,Patna Bazaar,Rice,Local,2680.00,3285.00,3259.00,2023,3,March,Summer,605.00,0.96,High,3493.108757,-234.11
4/6/2022,Karnataka,Mysuru,Mysuru Yard,Potato,Grade A,1141.00,1660.00,1401.00,2022,4,April,Summer,519.00,0.5,Normal,1290.850866,110.15
3/5/2022,Maharashtra,Pune,APMC Pune,Onion,Faq,1115.00,1350.00,1233.00,2022,3,March,Summer,235.00,0.5,Normal,2967.977922,-1734.98
12/14/2021,Bihar,Patna,Patna Bazaar,Potato,Hybrid,1729.00,2168.00,1931.00,2021,12,December,Rabi,439.00,0.46,Normal,1290.850866,640.15
1/8/2019,Rajasthan,Jaipur,Jaipur Mandi,Cotton,Grade A,6874.00,7321.00,7151.00,2019,1,January,Rabi,447.00,0.62,High,5789.811921,1361.19
9/12/2020,Punjab,Ludhiana,Ludhiana Market,Soyabean,Unknown,4350.00,4911.00,4808.00,2020,9,September,Kharif,561.00,0.82,High,4476.642473,331.36
2/8/2019,Tamil Nadu,Coimbatore,Coimbatore Mandi,Tomato,Standard,3160.00,3825.00,3603.00,2019,2,February,Summer,665.00,0.67,High,2353.777929,1249.22
2/15/2024,Tamil Nadu,Coimbatore,Coimbatore Mandi,Cotton,Standard,6316.00,6852.00,6668.00,2024,2,February,Summer,536.00,0.66,High,5789.811921,878.19
9/6/2020,Rajasthan,Jaipur,Jaipur Mandi,Potato,Unknown,468.00,698.00,576.00,2020,9,September,Kharif,230.00,0.47,Normal,1290.850866,-714.85
11/5/2020,Punjab,Ludhiana,Ludhiana Market,Wheat,Grade A,2268.00,2588.00,2428.00,2020,11,November,Rabi,320.00,0.5,Normal,2364.839335,63.16
8/17/2019,Punjab,Ludhiana,Ludhiana Market,Onion,Premium,1780.00,2843.00,2632.00,2019,8,August,Kharif,1063.00,0.8,Normal,2967.977922,-335.98
2/9/2022,Rajasthan,Jaipur,Jaipur Mandi,Maize,Local,2091.00,2429.00,2260.00,2022,2,February,Summer,338.00,0.5,Normal,1970.373775,289.63
8/2/2019,Bihar,Patna,Patna Bazaar,Cotton,Grade A,6437.00,7013.00,6953.00,2019,8,August,Kharif,576.00,0.9,High,5789.811921,1163.19
3/5/2019,Bihar,Patna,Patna Bazaar,Rice,Local,2042.00,2211.00,2188.00,2019,3,March,Summer,169.00,0.86,Normal,3493.108757,-1305.11
10/2/2022,Rajasthan,Jaipur,Jaipur Mandi,Onion,Premium,2526.00,3477.00,2595.00,2022,10,October,Rabi,951.00,0.07,Normal,2967.977922,-372.98
3/8/2020,Rajasthan,Jaipur,Jaipur Mandi,Tomato,Grade A,572.00,1638.00,612.00,2020,3,March,Summer,1066.00,0.04,Normal,2353.777929,-1741.78
12/6/2019,West Bengal,Kolkata,Kolkata Market,Wheat,Grade A,2202.00,2599.00,2434.00,2019,12,December,Rabi,397.00,0.58,Normal,2364.839335,69.16
3/8/2022,Tamil Nadu,Coimbatore,Coimbatore Mandi,Cotton,Grade A,6978.00,7784.00,7376.00,2022,3,March,Summer,806.00,0.49,High,5789.811921,1586.19
6/10/2023,Rajasthan,Jaipur,Jaipur Mandi,Rice,Grade A,2092.00,2323.00,2208.00,2023,6,June,Kharif,231.00,0.5,Normal,3493.108757,-1285.11
8/10/2022,Karnataka,Mysuru,Mysuru Yard,Potato,Grade A,498.00,968.00,733.00,2022,8,August,Kharif,470.00,0.5,Normal,1290.850866,-557.85
7/31/2022,Uttar Pradesh,Lucknow,Lucknow Mandi,Cotton,Grade A,4533.00,5469.00,4988.00,2022,7,July,Kharif,936.00,0.49,High,5789.811921,-801.81
10/3/2019,Tamil Nadu,Coimbatore,Coimbatore Mandi,Wheat,Premium,2326.00,2751.00,2539.00,2019,10,October,Rabi,425.00,0.5,Normal,2364.839335,174.16
8/12/2023,Maharashtra,Pune,APMC Pune,Cotton,Unknown,6603.00,6789.00,6696.00,2023,8,August,Kharif,186.00,0.5,High,5789.811921,906.19
1/9/2018,Maharashtra,Pune,APMC Pune,Cotton,Premium,4869.00,5531.00,5237.00,2018,1,January,Rabi,662.00,0.56,High,5789.811921,-552.81
12/14/2022,Karnataka,Mysuru,Mysuru Yard,Wheat,Unknown,2473.00,2835.00,2654.00,2022,12,December,Rabi,362.00,0.5,Normal,2364.839335,289.16
1/11/2025,Uttar Pradesh,Lucknow,Lucknow Mandi,Tomato,Standard,3400.00,4472.00,3692.00,2025,1,January,Rabi,1072.00,0.27,High,2353.777929,1338.22
